设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0063,2023-06-21 00:00:00,避雷器,松山湖220kV变电站,0.526,0.661,25.75,0.66,0.808,22.41,,,,,,,,,,,,,,,,,,
EQ-0127,2023-06-21 00:00:00,GIS组合电器,张江110kV变电站,0.564,0.749,32.8,0.695,0.892,28.37,64.0,75.967,18.7,80.633,94.7,17.45,10499.333,9001.667,-14.26,,,,5.9,8.833,49.72,0.49,0.508,3.6
EQ-0009,2023-07-01 00:00:00,断路器,龙华220kV变电站,0.53,0.598,12.89,0.652,0.713,9.27,,,,,,,8563.333,8414.667,-1.74,,,,,,,0.471,0.463,-1.63
EQ-0095,2023-06-22 00:00:00,隔离开关,前海110kV变电站,0.581,0.759,30.57,0.691,0.973,40.81,,,,,,,,,,,,,,,,,,
EQ-0376,2023-06-22 00:00:00,断路器,重庆两江220kV变电站,0.457,0.604,32.25,0.568,0.714,25.6,,,,,,,8605.333,8263.667,-3.97,,,,,,,0.48,0.493,2.71
EQ-0183,2023-06-22 00:00:00,电力变压器,杭州滨江110kV变电站,0.473,0.636,34.43,0.598,0.794,32.68,60.067,72.833,21.25,74.067,91.033,22.91,8753.667,8086.0,-7.63,0.004,0.004,7.13,13.2,4.267,-67.68,,,
EQ-0333,2023-06-22 00:00:00,断路器,长沙星沙110kV变电站,0.606,0.738,21.65,0.76,0.922,21.35,,,,,,,8140.333,8890.333,9.21,,,,,,,0.49,0.468,-4.62
EQ-0008,2023-06-22 00:00:00,断路器,龙华220kV变电站,0.503,0.592,17.86,0.661,0.752,13.76,,,,,,,7819.333,8491.0,8.59,,,,,,,0.501,0.487,-2.73
EQ-0391,2023-06-22 00:00:00,避雷器,重庆两江220kV变电站,0.469,0.616,31.29,0.572,0.787,37.7,,,,,,,,,,,,,,,,,,
EQ-0284,2023-06-22 00:00:00,断路器,石家庄高新35kV变电站,0.49,0.662,35.03,0.619,0.796,28.7,,,,,,,10290.333,9021.0,-12.34,,,,,,,0.504,0.491,-2.64
EQ-0158,2023-06-22 00:00:00,断路器,苏州工业园220kV变电站,0.504,0.661,31.01,0.667,0.827,24.01,,,,,,,9098.667,8767.333,-3.64,,,,,,,0.503,0.457,-9.21
EQ-0364,2023-06-22 00:00:00,GIS组合电器,武侯110kV变电站,0.434,0.574,32.36,0.52,0.72,38.51,55.433,69.333,25.08,72.267,85.867,18.82,10571.0,9175.333,-13.2,,,,7.3,7.733,5.94,0.472,0.526,11.45
EQ-0225,2023-06-15 00:00:00,隔离开关,亦庄110kV变电站,0.513,0.645,25.67,0.674,0.803,19.21,,,,,,,,,,,,,,,,,,
EQ-0263,2023-07-08 00:00:00,断路器,天津滨海220kV变电站,0.725,0.759,4.67,0.892,0.96,7.67,,,,,,,8067.333,8871.667,9.97,,,,,,,0.484,0.478,-1.24
EQ-0210,2023-06-22 00:00:00,电容器组,昆山35kV变电站,0.611,0.757,23.9,0.785,0.955,21.72,,,,,,,,,,0.006,0.004,-24.85,,,,,,
EQ-0029,2023-06-22 00:00:00,避雷器,龙华220kV变电站,0.657,0.856,30.23,0.822,1.011,22.91,,,,,,,,,,,,,,,,,,
EQ-0144,2023-06-22 00:00:00,避雷器,临港110kV变电站,0.555,0.705,27.13,0.677,0.892,31.63,,,,,,,,,,,,,,,,,,
EQ-0099,2023-07-17 00:00:00,电容器组,前海110kV变电站,0.687,0.703,2.33,0.848,0.872,2.78,,,,,,,,,,0.003,0.004,16.99,,,,,,
EQ-0413,2023-06-23 00:00:00,断路器,沈阳浑南110kV变电站,0.525,0.738,40.79,0.687,0.902,31.35,,,,,,,7209.333,9029.0,25.24,,,,,,,0.483,0.446,-7.67
EQ-0383,2023-06-23 00:00:00,电容器组,重庆两江220kV变电站,0.48,0.637,32.68,0.607,0.779,28.31,,,,,,,,,,0.004,0.005,4.17,,,,,,
EQ-0201,2023-06-23 00:00:00,电力变压器,昆山35kV变电站,0.566,0.722,27.59,0.722,0.921,27.52,61.367,79.167,29.01,78.633,98.467,25.22,7258.0,7980.333,9.95,0.004,0.004,3.69,15.8,18.633,17.93,,,
EQ-0272,2023-06-23 00:00:00,电容器组,天津滨海220kV变电站,0.548,0.788,43.89,0.691,0.96,38.9,,,,,,,,,,0.004,0.005,31.31,,,,,,
EQ-0096,2023-06-23 00:00:00,隔离开关,前海110kV变电站,0.529,0.703,32.94,0.639,0.912,42.8,,,,,,,,,,,,,,,,,,
EQ-0250,2023-06-23 00:00:00,避雷器,通州35kV变电站,0.583,0.801,37.4,0.72,0.978,35.92,,,,,,,,,,,,,,,,,,
EQ-0423,2023-06-23 00:00:00,避雷器,沈阳浑南110kV变电站,0.516,0.694,34.54,0.641,0.869,35.65,,,,,,,,,,,,,,,,,,
EQ-0233,2023-06-23 00:00:00,避雷器,亦庄110kV变电站,0.652,0.791,21.23,0.826,0.96,16.31,,,,,,,,,,,,,,,,,,
EQ-0424,2023-06-23 00:00:00,避雷器,沈阳浑南110kV变电站,0.5,0.689,37.92,0.639,0.832,30.19,,,,,,,,,,,,,,,,,,
EQ-0245,2023-06-24 00:00:00,隔离开关,通州35kV变电站,0.615,0.784,27.52,0.762,0.959,25.98,,,,,,,,,,,,,,,,,,
EQ-0375,2023-06-24 00:00:00,断路器,重庆两江220kV变电站,0.64,0.8,25.0,0.82,0.989,20.54,,,,,,,8103.667,7821.667,-3.48,,,,,,,0.495,0.469,-5.25
EQ-0031,2023-06-28 00:00:00,避雷器,龙华220kV变电站,0.607,0.744,22.55,0.776,0.9,16.01,,,,,,,,,,,,,,,,,,
EQ-0319,2023-06-24 00:00:00,隔离开关,江夏35kV变电站,0.499,0.647,29.54,0.618,0.799,29.14,,,,,,,,,,,,,,,,,,
EQ-0059,2023-06-24 00:00:00,避雷器,松山湖220kV变电站,0.522,0.713,36.6,0.629,0.9,43.19,,,,,,,,,,,,,,,,,,
EQ-0283,2023-06-24 00:00:00,电力变压器,石家庄高新35kV变电站,0.6,0.825,37.54,0.742,1.006,35.57,59.533,76.9,29.17,77.433,96.8,25.01,7513.667,8252.667,9.84,0.004,0.004,-9.38,14.6,15.867,8.68,,,
EQ-0193,2023-06-24 00:00:00,隔离开关,杭州滨江110kV变电站,0.497,0.633,27.39,0.631,0.835,32.19,,,,,,,,,,,,,,,,,,
EQ-0288,2023-07-22 00:00:00,隔离开关,石家庄高新35kV变电站,0.639,0.595,-6.89,0.835,0.746,-10.62,,,,,,,,,,,,,,,,,,
EQ-0240,2023-06-28 00:00:00,断路器,通州35kV变电站,0.554,0.7,26.31,0.711,0.861,21.12,,,,,,,8063.333,9815.333,21.73,,,,,,,0.484,0.49,1.1
EQ-0291,2023-06-24 00:00:00,电容器组,石家庄高新35kV变电站,0.616,0.801,30.11,0.763,0.985,29.11,,,,,,,,,,0.004,0.006,42.36,,,,,,
EQ-0336,2023-06-24 00:00:00,隔离开关,长沙星沙110kV变电站,0.633,0.872,37.71,0.816,1.042,27.69,,,,,,,,,,,,,,,,,,
EQ-0170,2023-06-24 00:00:00,电容器组,苏州工业园220kV变电站,0.505,0.641,26.99,0.648,0.799,23.25,,,,,,,,,,0.005,0.005,4.49,,,,,,
EQ-0069,2023-06-24 00:00:00,电力变压器,南沙110kV变电站,0.64,0.829,29.52,0.772,1.0,29.48,71.033,80.1,12.76,88.667,100.967,13.87,9747.333,8721.333,-10.53,0.003,0.004,24.3,6.1,8.233,34.97,,,
EQ-0301,2023-07-19 00:00:00,断路器,武昌110kV变电站,0.544,0.535,-1.55,0.683,0.671,-1.77,,,,,,,8059.667,9523.0,18.16,,,,,,,0.479,0.49,2.23
EQ-0300,2023-06-24 00:00:00,断路器,武昌110kV变电站,0.572,0.764,33.59,0.725,0.945,30.38,,,,,,,9871.333,7978.333,-19.18,,,,,,,0.516,0.465,-9.89
EQ-0382,2023-06-24 00:00:00,隔离开关,重庆两江220kV变电站,0.623,0.77,23.59,0.754,0.947,25.57,,,,,,,,,,,,,,,,,,
EQ-0152,2023-06-24 00:00:00,电力变压器,苏州工业园220kV变电站,0.62,0.795,28.36,0.778,0.944,21.4,62.8,80.433,28.08,80.167,100.7,25.61,10344.0,9280.333,-10.28,0.005,0.005,10.79,6.267,8.867,41.49,,,
EQ-0026,2023-06-24 00:00:00,电容器组,龙华220kV变电站,0.648,0.853,31.54,0.811,1.06,30.78,,,,,,,,,,0.004,0.004,-0.32,,,,,,
EQ-0186,2023-06-24 00:00:00,断路器,杭州滨江110kV变电站,0.616,0.85,37.9,0.795,1.013,27.4,,,,,,,7872.0,6465.667,-17.87,,,,,,,0.514,0.491,-4.54
EQ-0378,2023-06-24 00:00:00,隔离开关,重庆两江220kV变电站,0.483,0.629,30.41,0.587,0.753,28.17,,,,,,,,,,,,,,,,,,
EQ-0409,2023-06-25 00:00:00,电力变压器,沈阳浑南110kV变电站,0.628,0.834,32.85,0.779,0.999,28.18,61.433,73.2,19.15,78.5,91.267,16.26,7732.0,7830.333,1.27,0.004,0.004,9.78,3.767,8.3,120.35,,,
EQ-0090,2023-06-25 00:00:00,断路器,前海110kV变电站,0.574,0.812,41.48,0.688,1.01,46.77,,,,,,,8342.0,6900.0,-17.29,,,,,,,0.506,0.465,-8.23
EQ-0075,2023-06-25 00:00:00,断路器,南沙110kV变电站,0.554,0.663,19.59,0.673,0.834,23.88,,,,,,,8516.667,9488.0,11.41,,,,,,,0.491,0.486,-1.15
EQ-0191,2023-06-25 00:00:00,隔离开关,杭州滨江110kV变电站,0.602,0.787,30.74,0.729,1.014,39.12,,,,,,,,,,,,,,,,,,
EQ-0344,2023-07-04 00:00:00,避雷器,长沙星沙110kV变电站,0.746,0.712,-4.46,0.954,0.911,-4.45,,,,,,,,,,,,,,,,,,
EQ-0044,2023-06-25 00:00:00,断路器,松山湖220kV变电站,0.513,0.706,37.53,0.66,0.835,26.63,,,,,,,8933.0,9071.0,1.54,,,,,,,0.467,0.456,-2.43
EQ-0178,2023-07-10 00:00:00,避雷器,苏州工业园220kV变电站,0.526,0.496,-5.65,0.666,0.604,-9.31,,,,,,,,,,,,,,,,,,
EQ-0247,2023-07-04 00:00:00,电容器组,通州35kV变电站,0.699,0.656,-6.08,0.892,0.802,-10.07,,,,,,,,,,0.004,0.005,28.94,,,,,,
EQ-0203,2023-07-06 00:00:00,断路器,昆山35kV变电站,0.596,0.599,0.53,0.737,0.735,-0.26,,,,,,,7642.0,6301.0,-17.55,,,,,,,0.441,0.468,6.2
EQ-0113,2023-06-30 00:00:00,断路器,张江110kV变电站,0.597,0.841,40.89,0.759,1.02,34.32,,,,,,,8567.333,10025.667,17.02,,,,,,,0.495,0.508,2.63
EQ-0428,2023-06-25 00:00:00,电力变压器,大连开发区35kV变电站,0.621,0.771,24.17,0.772,0.948,22.71,59.1,75.733,28.14,77.067,93.733,21.63,9399.333,8213.333,-12.62,0.005,0.004,-16.26,6.833,10.8,58.05,,,
EQ-0231,2023-06-25 00:00:00,避雷器,亦庄110kV变电站,0.509,0.705,38.38,0.633,0.882,39.23,,,,,,,,,,,,,,,,,,
EQ-0419,2023-06-30 00:00:00,隔离开关,沈阳浑南110kV变电站,0.564,0.75,32.96,0.725,0.934,28.77,,,,,,,,,,,,,,,,,,
EQ-0065,2023-07-08 00:00:00,GIS组合电器,松山湖220kV变电站,0.616,0.615,-0.15,0.811,0.754,-6.99,74.833,72.133,-3.61,92.967,89.467,-3.76,8199.667,8288.333,1.08,,,,9.333,5.1,-45.36,0.512,0.465,-9.12
EQ-0414,2023-06-26 00:00:00,断路器,沈阳浑南110kV变电站,0.545,0.748,37.23,0.674,0.921,36.67,,,,,,,8584.667,7970.667,-7.15,,,,,,,0.472,0.495,5.02
EQ-0359,2023-06-26 00:00:00,电容器组,武侯110kV变电站,0.491,0.668,36.07,0.604,0.848,40.36,,,,,,,,,,0.004,0.005,39.57,,,,,,
EQ-0209,2023-06-26 00:00:00,隔离开关,昆山35kV变电站,0.53,0.718,35.27,0.661,0.896,35.43,,,,,,,,,,,,,,,,,,
EQ-0056,2023-06-26 00:00:00,隔离开关,松山湖220kV变电站,0.502,0.695,38.39,0.653,0.89,36.25,,,,,,,,,,,,,,,,,,
EQ-0013,2023-06-26 00:00:00,断路器,龙华220kV变电站,0.633,0.805,27.23,0.765,1.015,32.77,,,,,,,8066.667,8494.333,5.3,,,,,,,0.464,0.471,1.44
EQ-0325,2023-06-26 00:00:00,避雷器,江夏35kV变电站,0.466,0.596,28.04,0.566,0.762,34.69,,,,,,,,,,,,,,,,,,
EQ-0080,2023-06-26 00:00:00,电容器组,南沙110kV变电站,0.622,0.773,24.19,0.785,0.98,24.82,,,,,,,,,,0.005,0.005,8.01,,,,,,
EQ-0006,2023-06-26 00:00:00,断路器,龙华220kV变电站,0.458,0.662,44.47,0.57,0.815,42.87,,,,,,,8317.667,8586.667,3.23,,,,,,,0.469,0.478,1.78
EQ-0139,2023-06-26 00:00:00,隔离开关,临港110kV变电站,0.573,0.747,30.46,0.678,0.913,34.56,,,,,,,,,,,,,,,,,,
EQ-0401,2023-07-11 00:00:00,隔离开关,成都高新35kV变电站,0.668,0.68,1.73,0.837,0.828,-1.09,,,,,,,,,,,,,,,,,,
EQ-0153,2023-06-26 00:00:00,断路器,苏州工业园220kV变电站,0.466,0.613,31.4,0.564,0.776,37.67,,,,,,,8213.667,8354.667,1.72,,,,,,,0.482,0.492,2.07
EQ-0138,2023-06-26 00:00:00,隔离开关,临港110kV变电站,0.533,0.65,21.97,0.673,0.803,19.36,,,,,,,,,,,,,,,,,,
EQ-0361,2023-07-22 00:00:00,避雷器,武侯110kV变电站,0.739,0.718,-2.84,0.932,0.88,-5.57,,,,,,,,,,,,,,,,,,
EQ-0202,2023-06-27 00:00:00,电力变压器,昆山35kV变电站,0.576,0.77,33.7,0.693,0.995,43.64,66.067,77.467,17.26,84.533,98.7,16.76,7833.667,9019.0,15.13,0.006,0.005,-9.44,10.233,12.833,25.41,,,
EQ-0347,2023-06-27 00:00:00,电力变压器,武侯110kV变电站,0.485,0.644,32.77,0.584,0.799,36.84,57.767,71.933,24.52,72.3,90.8,25.59,8104.667,9036.0,11.49,0.004,0.005,8.31,7.5,7.2,-4.0,,,
EQ-0130,2023-06-27 00:00:00,电力变压器,临港110kV变电站,0.475,0.654,37.66,0.609,0.824,35.29,66.833,75.3,12.67,83.567,95.5,14.28,9030.0,8903.333,-1.4,0.005,0.004,-9.27,9.4,9.933,5.67,,,
EQ-0362,2023-06-27 00:00:00,避雷器,武侯110kV变电站,0.602,0.754,25.2,0.762,0.904,18.65,,,,,,,,,,,,,,,,,,
EQ-0348,2023-06-27 00:00:00,电力变压器,武侯110kV变电站,0.497,0.666,33.99,0.661,0.806,21.89,62.933,76.6,21.72,78.933,94.467,19.68,9907.333,9441.667,-4.7,0.005,0.004,-24.16,6.267,8.9,42.02,,,
EQ-0155,2023-07-27 00:00:00,断路器,苏州工业园220kV变电站,0.602,0.586,-2.67,0.747,0.747,0.07,,,,,,,7598.0,7313.333,-3.75,,,,,,,0.479,0.471,-1.81
EQ-0426,2023-06-27 00:00:00,GIS组合电器,沈阳浑南110kV变电站,0.599,0.739,23.27,0.77,0.919,19.32,58.4,72.3,23.8,75.833,91.9,21.19,9135.0,8365.333,-8.43,,,,11.367,11.667,2.64,0.48,0.485,1.18
EQ-0122,2023-07-27 00:00:00,电容器组,张江110kV变电站,0.67,0.609,-9.23,0.842,0.766,-9.05,,,,,,,,,,0.004,0.006,41.91,,,,,,
EQ-0393,2023-06-27 00:00:00,GIS组合电器,重庆两江220kV变电站,0.574,0.74,28.87,0.699,0.919,31.51,63.0,72.233,14.66,78.067,89.267,14.35,8190.667,8148.333,-0.52,,,,11.3,13.3,17.7,0.47,0.476,1.28
EQ-0436,2023-07-10 00:00:00,电容器组,大连开发区35kV变电站,0.645,0.643,-0.27,0.808,0.778,-3.79,,,,,,,,,,0.006,0.006,-1.75,,,,,,
EQ-0167,2023-06-27 00:00:00,隔离开关,苏州工业园220kV变电站,0.635,0.792,24.86,0.796,0.974,22.23,,,,,,,,,,,,,,,,,,
EQ-0313,2023-06-27 00:00:00,GIS组合电器,武昌110kV变电站,0.635,0.788,24.23,0.802,0.964,20.12,65.867,76.567,16.24,83.3,97.433,16.97,9315.333,9677.667,3.89,,,,10.2,6.933,-32.03,0.469,0.476,1.49
EQ-0329,2023-06-27 00:00:00,电力变压器,长沙星沙110kV变电站,0.503,0.671,33.51,0.637,0.874,37.27,61.667,73.4,19.03,77.5,91.1,17.55,10297.333,10643.667,3.36,0.004,0.004,11.31,6.067,9.2,51.65,,,
EQ-0163,2023-07-23 00:00:00,隔离开关,苏州工业园220kV变电站,0.551,0.529,-4.01,0.669,0.679,1.49,,,,,,,,,,,,,,,,,,
EQ-0207,2023-06-28 00:00:00,隔离开关,昆山35kV变电站,0.594,0.802,35.09,0.749,0.994,32.81,,,,,,,,,,,,,,,,,,
EQ-0208,2023-06-28 00:00:00,隔离开关,昆山35kV变电站,0.519,0.701,35.12,0.643,0.846,31.54,,,,,,,,,,,,,,,,,,
EQ-0125,2023-06-28 00:00:00,避雷器,张江110kV变电站,0.498,0.672,34.87,0.616,0.818,32.65,,,,,,,,,,,,,,,,,,
EQ-0072,2023-06-28 00:00:00,断路器,南沙110kV变电站,0.56,0.733,30.9,0.689,0.935,35.75,,,,,,,9778.667,8725.667,-10.77,,,,,,,0.468,0.457,-2.49
EQ-0023,2023-07-01 00:00:00,隔离开关,龙华220kV变电站,0.599,0.658,9.98,0.721,0.844,17.17,,,,,,,,,,,,,,,,,,
EQ-0147,2023-06-28 00:00:00,GIS组合电器,临港110kV变电站,0.464,0.619,33.46,0.583,0.774,32.77,62.4,72.033,15.44,76.3,90.5,18.61,8903.0,10512.667,18.08,,,,5.7,9.933,74.27,0.492,0.477,-2.98
EQ-0094,2023-06-28 00:00:00,断路器,前海110kV变电站,0.506,0.636,25.8,0.613,0.783,27.7,,,,,,,7199.667,8958.667,24.43,,,,,,,0.509,0.466,-8.45
EQ-0164,2023-06-28 00:00:00,隔离开关,苏州工业园220kV变电站,0.563,0.76,35.06,0.711,0.919,29.32,,,,,,,,,,,,,,,,,,
EQ-0327,2023-06-28 00:00:00,电力变压器,长沙星沙110kV变电站,0.513,0.618,20.55,0.619,0.746,20.5,61.533,67.733,10.08,75.667,86.233,13.96,10693.667,8448.0,-21.0,0.004,0.004,-2.71,5.867,8.6,46.59,,,
EQ-0226,2023-07-03 00:00:00,隔离开关,亦庄110kV变电站,0.682,0.65,-4.64,0.869,0.817,-5.97,,,,,,,,,,,,,,,,,,
EQ-0317,2023-06-28 00:00:00,断路器,江夏35kV变电站,0.455,0.596,31.2,0.553,0.771,39.56,,,,,,,6002.0,7838.333,30.6,,,,,,,0.494,0.473,-4.18
EQ-0084,2023-06-28 00:00:00,避雷器,南沙110kV变电站,0.649,0.863,32.97,0.837,1.025,22.44,,,,,,,,,,,,,,,,,,
EQ-0215,2023-07-19 00:00:00,电力变压器,亦庄110kV变电站,0.614,0.597,-2.73,0.792,0.77,-2.7,63.2,64.033,1.32,81.0,81.033,0.04,7706.333,7061.667,-8.37,0.006,0.005,-16.55,13.4,11.533,-13.93,,,
EQ-0379,2023-06-28 00:00:00,隔离开关,重庆两江220kV变电站,0.503,0.651,29.24,0.628,0.805,28.23,,,,,,,,,,,,,,,,,,
EQ-0042,2023-06-28 00:00:00,电力变压器,松山湖220kV变电站,0.578,0.774,33.97,0.722,0.998,38.29,66.733,82.233,23.23,86.333,101.167,17.18,8415.0,10294.333,22.33,0.004,0.003,-27.51,11.0,10.0,-9.09,,,
EQ-0264,2023-06-28 00:00:00,隔离开关,天津滨海220kV变电站,0.642,0.83,29.29,0.798,0.984,23.31,,,,,,,,,,,,,,,,,,
EQ-0352,2023-07-04 00:00:00,断路器,武侯110kV变电站,0.673,0.701,4.1,0.816,0.896,9.7,,,,,,,10394.667,11164.667,7.41,,,,,,,0.469,0.505,7.68
EQ-0238,2023-06-28 00:00:00,电力变压器,通州35kV变电站,0.538,0.719,33.53,0.706,0.899,27.33,59.467,72.467,21.86,74.333,94.067,26.55,8057.0,6904.667,-14.3,0.004,0.005,27.47,9.4,9.5,1.06,,,
EQ-0002,2023-06-29 00:00:00,电力变压器,龙华220kV变电站,0.509,0.742,45.91,0.633,0.946,49.45,65.733,83.567,27.13,81.1,103.4,27.5,8163.667,9200.333,12.7,0.006,0.005,-10.72,9.467,10.233,8.1,,,
EQ-0024,2023-07-06 00:00:00,电容器组,龙华220kV变电站,0.583,0.575,-1.39,0.696,0.733,5.37,,,,,,,,,,0.005,0.003,-41.22,,,,,,
EQ-0386,2023-06-29 00:00:00,避雷器,重庆两江220kV变电站,0.514,0.7,36.13,0.626,0.844,34.84,,,,,,,,,,,,,,,,,,
EQ-0100,2023-06-29 00:00:00,电容器组,前海110kV变电站,0.625,0.803,28.46,0.761,1.028,35.03,,,,,,,,,,0.005,0.004,-17.1,,,,,,
EQ-0388,2023-06-24 00:00:00,避雷器,重庆两江220kV变电站,0.587,0.78,32.79,0.753,0.944,25.39,,,,,,,,,,,,,,,,,,
EQ-0314,2023-06-29 00:00:00,电力变压器,江夏35kV变电站,0.608,0.778,28.01,0.772,0.978,26.6,64.667,74.733,15.57,82.8,96.067,16.02,8706.333,7066.667,-18.83,0.005,0.005,10.32,14.933,11.667,-21.87,,,
EQ-0061,2023-06-29 00:00:00,避雷器,松山湖220kV变电站,0.484,0.693,43.03,0.602,0.926,53.74,,,,,,,,,,,,,,,,,,
EQ-0121,2023-06-29 00:00:00,电容器组,张江110kV变电站,0.606,0.831,37.23,0.752,1.02,35.61,,,,,,,,,,0.005,0.005,0.79,,,,,,
EQ-0060,2023-07-23 00:00:00,避雷器,松山湖220kV变电站,0.575,0.572,-0.56,0.71,0.727,2.43,,,,,,,,,,,,,,,,,,
EQ-0145,2023-06-29 00:00:00,避雷器,临港110kV变电站,0.478,0.694,45.18,0.611,0.904,47.96,,,,,,,,,,,,,,,,,,
EQ-0124,2023-06-29 00:00:00,避雷器,张江110kV变电站,0.602,0.826,37.13,0.731,0.985,34.62,,,,,,,,,,,,,,,,,,
EQ-0369,2023-06-29 00:00:00,断路器,重庆两江220kV变电站,0.549,0.77,40.1,0.644,0.921,42.99,,,,,,,7952.667,8603.0,8.18,,,,,,,0.483,0.492,2.0
EQ-0248,2023-07-26 00:00:00,电容器组,通州35kV变电站,0.552,0.566,2.54,0.689,0.692,0.38,,,,,,,,,,0.005,0.004,-20.72,,,,,,
EQ-0312,2023-06-29 00:00:00,避雷器,武昌110kV变电站,0.617,0.753,22.05,0.801,0.935,16.78,,,,,,,,,,,,,,,,,,
EQ-0282,2023-06-29 00:00:00,电力变压器,石家庄高新35kV变电站,0.654,0.846,29.45,0.813,1.003,23.39,63.667,73.233,15.03,80.267,93.733,16.78,9206.333,8210.0,-10.82,0.004,0.005,45.85,8.367,6.733,-19.52,,,
EQ-0010,2023-07-14 00:00:00,断路器,龙华220kV变电站,0.621,0.578,-6.86,0.765,0.732,-4.29,,,,,,,9213.667,7424.0,-19.42,,,,,,,0.487,0.5,2.53
EQ-0418,2023-06-29 00:00:00,隔离开关,沈阳浑南110kV变电站,0.61,0.864,41.56,0.793,1.062,33.86,,,,,,,,,,,,,,,,,,
EQ-0126,2023-06-29 00:00:00,避雷器,张江110kV变电站,0.578,0.726,25.51,0.718,0.921,28.19,,,,,,,,,,,,,,,,,,
EQ-0289,2023-06-30 00:00:00,隔离开关,石家庄高新35kV变电站,0.553,0.756,36.75,0.706,0.915,29.67,,,,,,,,,,,,,,,,,,
EQ-0135,2023-06-30 00:00:00,断路器,临港110kV变电站,0.554,0.685,23.78,0.681,0.856,25.71,,,,,,,8834.333,9537.333,7.96,,,,,,,0.5,0.497,-0.67
EQ-0371,2023-06-30 00:00:00,断路器,重庆两江220kV变电站,0.525,0.693,32.05,0.679,0.873,28.61,,,,,,,8304.667,9112.333,9.73,,,,,,,0.5,0.502,0.33
EQ-0268,2023-06-30 00:00:00,隔离开关,天津滨海220kV变电站,0.613,0.814,32.81,0.756,0.989,30.79,,,,,,,,,,,,,,,,,,
EQ-0053,2023-06-30 00:00:00,隔离开关,松山湖220kV变电站,0.49,0.652,33.19,0.606,0.821,35.36,,,,,,,,,,,,,,,,,,
EQ-0432,2023-06-23 00:00:00,隔离开关,大连开发区35kV变电站,0.445,0.604,35.75,0.541,0.742,37.3,,,,,,,,,,,,,,,,,,
EQ-0049,2023-06-30 00:00:00,断路器,松山湖220kV变电站,0.529,0.687,29.97,0.68,0.829,21.83,,,,,,,9760.667,8118.667,-16.82,,,,,,,0.491,0.475,-3.26
EQ-0181,2023-06-30 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.559,0.7,25.26,0.667,0.91,36.42,67.4,71.533,6.13,85.7,91.933,7.27,8640.333,7792.667,-9.81,,,,11.233,7.8,-30.56,0.529,0.481,-9.01
EQ-0007,2023-06-30 00:00:00,断路器,龙华220kV变电站,0.534,0.687,28.83,0.652,0.892,36.73,,,,,,,9613.667,7505.667,-21.93,,,,,,,0.482,0.468,-2.97
EQ-0150,2023-06-29 00:00:00,电力变压器,苏州工业园220kV变电站,0.505,0.712,41.04,0.646,0.84,30.02,60.0,75.2,25.33,76.233,94.5,23.96,8663.0,7651.667,-11.67,0.005,0.004,-4.66,6.767,8.733,29.06,,,
EQ-0392,2023-06-30 00:00:00,GIS组合电器,重庆两江220kV变电站,0.482,0.623,29.19,0.616,0.794,28.85,61.067,71.567,17.19,77.033,88.033,14.28,8478.667,9659.0,13.92,,,,9.633,5.967,-38.06,0.465,0.497,6.81
EQ-0416,2023-06-30 00:00:00,隔离开关,沈阳浑南110kV变电站,0.671,0.833,24.1,0.843,1.032,22.41,,,,,,,,,,,,,,,,,,
EQ-0217,2023-06-30 00:00:00,电力变压器,亦庄110kV变电站,0.601,0.79,31.5,0.775,0.938,21.04,65.9,75.467,14.52,83.733,94.7,13.1,8980.0,7507.667,-16.4,0.006,0.004,-29.73,10.467,3.633,-65.29,,,
EQ-0156,2023-06-30 00:00:00,断路器,苏州工业园220kV变电站,0.444,0.593,33.5,0.568,0.709,24.8,,,,,,,8197.667,7458.333,-9.02,,,,,,,0.462,0.477,3.25
EQ-0097,2023-06-30 00:00:00,隔离开关,前海110kV变电站,0.562,0.717,27.77,0.706,0.858,21.55,,,,,,,,,,,,,,,,,,
EQ-0101,2023-06-30 00:00:00,避雷器,前海110kV变电站,0.499,0.614,23.16,0.625,0.779,24.58,,,,,,,,,,,,,,,,,,
EQ-0218,2023-06-30 00:00:00,断路器,亦庄110kV变电站,0.594,0.817,37.64,0.749,0.977,30.47,,,,,,,11202.333,10015.0,-10.6,,,,,,,0.502,0.522,3.98
EQ-0163,2023-07-10 00:00:00,隔离开关,苏州工业园220kV变电站,0.551,0.529,-4.01,0.669,0.679,1.49,,,,,,,,,,,,,,,,,,
EQ-0085,2023-07-04 00:00:00,避雷器,南沙110kV变电站,0.682,0.648,-4.98,0.893,0.835,-6.45,,,,,,,,,,,,,,,,,,
